Date,Country,LocationCode,Location,Depth (ft),Fish,SL (mm),TL (mm),FishLineage,Sponge,SpongeID,SpongeGenus,Luke Fish ID
4-Apr-17,Panama,L06,STRI Reef,36,RPAN17I014,6.89,8.56,Lineage6,SPAN17I,Ircinia_strobilina,Ircinia,na
4-Apr-17,Panama,L06,STRI Reef,30,RPAN17J015,12.24,15.56,Lineage6,SPAN17J,Ircinia_felix,Ircinia,na
4-Apr-17,Panama,L06,STRI Reef,30,RPAN17J016,16.72,19.73,Lineage6,SPAN17J,Ircinia_felix,Ircinia,na
4-Apr-17,Panama,L06,STRI Reef,30,RPAN17J017,10.37,12.89,na,SPAN17J,Ircinia_felix,Ircinia,na
4-Apr-17,Panama,L06,STRI Reef,30,RPAN17J018,11.94,14.47,na,SPAN17J,Ircinia_felix,Ircinia,na
4-Apr-17,Panama,L06,STRI Reef,30,RPAN17J019,6.44,7.35,Lineage6,SPAN17J,Ircinia_felix,Ircinia,na
4-Apr-17,Panama,L06,STRI Reef,23,RPAN17K020,8.81,11.03,Lineage6,SPAN17K,Ircinia_felix,Ircinia,na
4-Apr-17,Panama,L06,STRI Reef,21,RPAN17L021,12.76,15.73,Lineage6,SPAN17L,Ircinia_felix,Ircinia,na
4-Apr-17,Panama,L06,STRI Reef,21,RPAN17L022,15.66,19.69,Lineage6,SPAN17L,Ircinia_felix,Ircinia,na
4-Apr-17,Panama,L06,STRI Reef,21,RPAN17L023,12.03,14.76,na,SPAN17L,Ircinia_felix,Ircinia,na
4-Apr-17,Panama,L06,STRI Reef,21,RPAN17L024,7.22,8.43,na,SPAN17L,Ircinia_felix,Ircinia,na
4-Apr-17,Panama,L06,STRI Reef,18,RPAN17M025,7.24,9.41,Lineage6,SPAN17M,Ircinia_felix,Ircinia,na
4-Apr-17,Panama,L06,STRI Reef,18,RPAN17M026,6.45,7.8,Lineage6,SPAN17M,Ircinia_felix,Ircinia,na
4-Apr-17,Panama,L06,STRI Reef,14,RPAN17N027,11.36,14.14,Lineage2,SPAN17N,Aiolochroia_crassa,Aiolochroia,na
4-Apr-17,Panama,L06,STRI Reef,14,RPAN17N028,6.44,8.27,Lineage2,SPAN17N,Aiolochroia_crassa,Aiolochroia,na
4-Apr-17,Panama,L06,STRI Reef,17,RPAN17O029,15.11,19.08,Lineage6,SPAN17O,Ircinia_strobilina,Ircinia,na
4-Apr-17,Panama,L06,STRI Reef,17,RPAN17O030,16.66,21.03,Lineage6,SPAN17O,Ircinia_strobilina,Ircinia,na
4-Apr-17,Panama,L06,STRI Reef,17,RPAN17P031,14.15,18.8,Lineage6,SPAN17P,Ircinia_strobilina,Ircinia,na
4-Apr-17,Panama,L06,STRI Reef,17,RPAN17P032,10.49,13.21,Lineage6,SPAN17P,Ircinia_strobilina,Ircinia,na
4-Apr-17,Panama,L06,STRI Reef,16,RPAN17Q033,14.83,18.09,Lineage6,SPAN17Q,Ircinia_strobilina,Ircinia,na
16-Apr-17,St Eustatius,L07,SW Statia,49,REUS17A001,12,na,Lineage6,SEUS17A,Ircinia_sp,Ircinia,EUS17047
16-Apr-17,St Eustatius,L07,SW Statia,49,REUS17A002,12,na,na,SEUS17A,Ircinia_sp,Ircinia,EUS17048
16-Apr-17,St Eustatius,L07,SW Statia,46,REUS17B003,10,na,Lineage6,SEUS17B,Ircinia_strobilina,Ircinia,EUS17049
16-Apr-17,St Eustatius,L07,SW Statia,49,REUS17C004,13.5,na,Lineage4,SEUS17C,Xestospongia_muta,Xestospongia,EUS17050
16-Apr-17,St Eustatius,L07,SW Statia,49,REUS17C005,11,na,Lineage4,SEUS17C,Xestospongia_muta,Xestospongia,EUS17051
16-Apr-17,St Eustatius,L07,SW Statia,49,REUS17C006,12.4,na,Lineage4,SEUS17C,Xestospongia_muta,Xestospongia,EUS17052
16-Apr-17,St Eustatius,L08,SW Statia Curasub 17-18,268,REUS17D007,30,na,Lineage4,SEUS17D,Xestospongia_muta,Xestospongia,EUS17068
17-Apr-17,St Eustatius,L09,SW Statia,48,REUS17E008,14,na,Lineage4,SEUS17E,Ircinia_strobilina,Ircinia,EUS17089
17-Apr-17,St Eustatius,L09,SW Statia,48,REUS17E009,9.5,na,Lineage6,SEUS17E,Ircinia_strobilina,Ircinia,EUS17090
17-Apr-17,St Eustatius,L09,SW Statia,49,REUS17F010,13.95,na,Lineage6,SEUS17F,Ircinia_felix,Ircinia,EUS17091
17-Apr-17,St Eustatius,L09,SW Statia,49,REUS17F011,15.28,na,Lineage6,SEUS17F,Ircinia_felix,Ircinia,EUS17092
17-Apr-17,St Eustatius,L09,SW Statia,49,REUS17F012,13.5,na,Lineage6,SEUS17F,Ircinia_felix,Ircinia,EUS17093
17-Apr-17,St Eustatius,L09,SW Statia,49,REUS17F013,12.92,na,Lineage6,SEUS17F,Ircinia_felix,Ircinia,EUS17094
17-Apr-17,St Eustatius,L09,SW Statia,49,REUS17F014,12.95,na,Lineage6,SEUS17F,Ircinia_felix,Ircinia,EUS17095
17-Apr-17,St Eustatius,L09,SW Statia,49,REUS17F015,9.78,na,Lineage4,SEUS17F,Ircinia_felix,Ircinia,EUS17096
17-Apr-17,St Eustatius,L09,SW Statia,49,REUS17F016,9.26,na,Lineage6,SEUS17F,Ircinia_felix,Ircinia,EUS17097
